0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
14,25,19.0,25.0,25.0,25.0,25.0,25.0,25.0,14.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,25.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,9.0,25.0,9.0,25.0,19.0,25.0,19.0,25.0,19.0,23.0,5.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4.0,6.0,19.0,23.0,25.0,5.0,24.0,25.0,34.0,25.0,25.0,9.0,25.0,4.0,6.0,25.0,25.0,25.0,19.0,25.0,4.0,6.0,11.0,25.0,25.0,19.0,25.0,4.0,6.0,11.0,25.0,25.0,19.0,25.0,4.0,6.0,11.0,25.0,25.0,9.0,25.0,25.0,4.0,32.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,25.0,19.0,25.0,4.0,6.0,25.0,4.0,6.0,25.0,25.0,19.0,23.0,23.0,25.0,4.0,6.0,25.0,4.0,6.0,25.0,25.0,19.0,25.0,4.0,6.0,25.0,4.0,6.0,25.0,25.0,19.0,23.0,25.0,4.0,6.0,25.0,4.0,6.0,25.0,25.0,19.0,25.0,4.0,6.0,25.0,4.0,6.0,25.0,25.0,19.0,25.0,4.0,6.0,25.0,4.0,6.0,25.0,25.0,25.0,6.0,11.0,4.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,25.0,9.0,25.0,4.0,32.0,25.0,4.0,32.0,25.0,9.0,5.0,19.0,25.0,4.0,25.0,4.0,31.0,12.0,25.0,25.0,32.0,25.0,4.0,25.0,25.0,32.0,25.0,4.0,25.0,25.0,,
25,25,25.0,25.0,9.0,25.0,25.0,19.0,36.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,33.0,25.0,25.0,19.0,25.0,25.0,25.0,19.0,23.0,25.0,19.0,23.0,25.0,9.0,25.0,4.0,17.0,17.0,25.0,4.0,17.0,17.0,25.0,4.0,17.0,17.0,25.0,4.0,17.0,17.0,6.0,11.0,25.0,25.0,25.0,25.0,9.0,25.0,26.0,33.0,25.0,5.0,19.0,25.0,9.0,4.0,6.0,19.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25.0,19.0,25.0,9.0,25.0,9.0,25.0,25.0,25.0,5.0,25.0,25.0,19.0,23.0,25.0,19.0,25.0,19.0,23.0,25.0,4.0,17.0,17.0,6.0,25.0,25.0,9.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,19.0,25.0,25.0,42.0,9.0,25.0,25.0,7.0,25.0,9.0,25.0,25.0,7.0,2.0,25.0,4.0,32.0,25.0,25.0,4.0,32.0,25.0,25.0,25.0,9.0,30.0,30.0,25.0,9.0,25.0,25.0,19.0,23.0,23.0,23.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,36,25.0,36.0,25.0,9.0,25.0,4.0,32.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
