0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
4900,3145,1725.0,3013.0,1674.0,1441.0,1184.0,5988.0,1425.0,2016.0,3709.0,2104.0,1725.0,5107.0,1253.0,6281.0,1051.0,4823.0,5146.0,3565.0,3120.0,589.0,1725.0,1724.0,1915.0,1184.0,6480.0,2816.0,3093.0,2209.0,3120.0,3852.0,1725.0,2399.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1674,4548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4348,5496,1094.0,467.0,5146.0,1867.0,5496.0,382.0,467.0,5146.0,3565.0,2140.0,3179.0,5868.0,528.0,519.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,1725,150.0,1184.0,3791.0,5122.0,974.0,3221.0,472.0,1725.0,3776.0,5146.0,1253.0,5146.0,3565.0,1953.0,2617.0,5138.0,6016.0,2718.0,722.0,6470.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1674,4194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,2545,1184.0,4452.0,3565.0,832.0,6281.0,4820.0,4823.0,2718.0,1925.0,975.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,3120,1915.0,1184.0,4726.0,2816.0,6252.0,2545.0,3565.0,6136.0,2016.0,6354.0,6281.0,2437.0,4823.0,2718.0,4185.0,975.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,3991,3183.0,870.0,5496.0,5159.0,467.0,3179.0,6243.0,2209.0,5115.0,5206.0,409.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,5146,5400.0,5824.0,5999.0,5541.0,1184.0,3790.0,2016.0,140.0,1697.0,3565.0,1584.0,2718.0,4188.0,975.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1724,4476.0,5146.0,3120.0,4842.0,2537.0,1164.0,1184.0,2093.0,6281.0,2716.0,4823.0,2718.0,1925.0,975.0,3565.0,168.0,2646.0,3636.0,140.0,4808.0,1798.0,4457.0,3774.0,5020.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
